Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.43      0.15     0.15     3352     0.04     0.04  hogChannels(float*, float const*, float const*, int, int, int, float, int)
 15.71      0.26     0.11      779     0.14     0.27  gradHist(float*, float*, float*, int, int, int, int, int, bool)
 14.29      0.36     0.10      717     0.14     0.22  gradMag(float*, float*, float*, int, int, int, bool)
  5.71      0.40     0.04      283     0.14     0.21  CNFeat::extract(cv::Mat const&)
  4.29      0.43     0.03  3426456     0.00     0.00  LDu(float const&)
  4.29      0.46     0.03  2999012     0.00     0.00  SET(float const&)
  4.29      0.49     0.03      897     0.03     0.66  FHoG::extract(cv::Mat const&, int, int, int, int, float)
  2.86      0.51     0.02 24451200     0.00     0.00  cv::Vec<unsigned char, 3>::operator[](int)
  2.86      0.53     0.02  2719029     0.00     0.00  ADD(float __vector(4), float __vector(4))
  2.86      0.55     0.02   280016     0.00     0.00  AND(long long __vector(2), long long __vector(2))
  2.86      0.57     0.02    21827     0.00     0.00  grad1(float*, float*, float*, int, int, int)
  2.86      0.59     0.02     1054     0.02     0.02  hogNormMatrix(float*, int, int, int, int)
  2.86      0.61     0.02      777     0.03     0.52  fhog(float*, float*, float*, int, int, int, int, int, float)
  2.86      0.63     0.02                             _GLOBAL__sub_I_m
  1.43      0.64     0.01  4288138     0.00     0.00  MUL(float __vector(4), float __vector(4))
  1.43      0.65     0.01  1894725     0.00     0.00  SET(float, float, float, float)
  1.43      0.66     0.01   282170     0.00     0.00  XOR(float __vector(4), float __vector(4))
  1.43      0.67     0.01    47698     0.00     0.00  cv::Mat::operator=(cv::MatExpr const&)
  1.43      0.68     0.01    21412     0.00     0.00  gradQuantize(float*, float*, int*, int*, float*, float*, int, int, float, int, bool, bool)
  1.43      0.69     0.01     1776     0.01     0.01  std::vector<cv::Mat, std::allocator<cv::Mat> >::operator=(std::vector<cv::Mat, std::allocator<cv::Mat> >&&)
  1.43      0.70     0.01      141     0.07     0.07  newifft2_for_y(complex_mat const&)
  0.00      0.70     0.00  8150400     0.00     0.00  CNFeat::rgb2id(int, int, int)
  0.00      0.70     0.00  3389023     0.00     0.00  float& cv::Mat::at<float>(int, int)
  0.00      0.70     0.00  2167764     0.00     0.00  STRu(float&, float __vector(4))
  0.00      0.70     0.00   815040     0.00     0.00  cv::Vec<unsigned char, 3>::Vec(cv::Vec<unsigned char, 3> const&)
  0.00      0.70     0.00   815040     0.00     0.00  cv::Matx<unsigned char, 3, 1>::Matx(unsigned char const*)
  0.00      0.70     0.00   815040     0.00     0.00  cv::Vec<unsigned char, 3> const& cv::Mat::at<cv::Vec<unsigned char, 3> >(int, int) const
  0.00      0.70     0.00   572712     0.00     0.00  CVT(float __vector(4))
  0.00      0.70     0.00   545259     0.00     0.00  float* cv::Mat::ptr<float>(int)
